target,Prevotella,Faecalibacterium,Klebsiella,Roseburia,Bifidobacterium,Enterobacter,Clostridium,Oscillibacter,Azospirillum,Akkermansia,Ruminococcus,Subdoligranulum,Bilophila,Blautia,Lachnoclostridium,Actinomyces,Desulfovibrio,Coprococcus,Butyricicoccus,Anaerotruncus,Streptococcus,Eggerthella,Acidaminococcus,Butyrivibrio,Flavonifractor,Pyramidobacter,Veillonella,Acidiphilium,Dorea,Ruminiclostridium,Intestinimonas,Peptoclostridium,Coprobacillus,Porphyromonas,Pseudoflavonifractor,Paenibacillus,Holdemania,Tyzzerella,Marvinbryantia,Enterococcus,Oribacterium,Treponema,Robinsoniella
hyper,0.118527918,0.001832395,0.006540714,4.18171e-4,0.001548986,3.73687e-4,0.005901201,4.77274e-4,6.71e-6,3.07e-7,2.24655e-4,5.57e-5,2.00445e-4,2.4172e-4,0.001004017,5.46277e-4,1.14e-5,4.53e-5,0.008822086,4.13e-5,1.57e-5,2.54e-5,1.24e-5,3.2e-5,9.19e-5,3.42e-6,1.58e-5,2.97e-8,9.05e-5,4.36e-5,9.03e-5,1.3524e-4,1.01e-5,9.24e-5,1.71061e-4,1.93e-5,2.23e-5,3.97e-5,7.01e-6,9.13e-6,2.07e-5,7.5e-6,1.98e-6
control,0.003469038,0.189582601,3.24365e-4,0.0161257,0.003930369,3.36029e-4,0.021674167,0.001837456,2.56e-7,4.44e-6,0.00135098,0.001175024,9.48e-5,0.001607391,0.006858992,1.95e-5,1.08237e-4,3.24192e-4,0.002592653,5.47371e-4,1.29226e-4,8.73836e-4,1.13743e-4,2.91015e-4,0.003456924,7.32e-5,1.1591e-4,5.64e-6,4.76049e-4,6.05706e-4,6.10626e-4,0.001305144,2e-5,5.10365e-4,0.00106854,2.09421e-4,2.56798e-4,1.53006e-4,2.30686e-4,5.52e-5,4.36229e-4,1.10614e-4,5.57e-5
hyper,0.265444934,0.064267319,1.27e-5,0.040374777,1.72956e-4,6.9e-6,0.027248973,0.002767322,1.55144e-4,3.12e-6,0.002757412,0.001483084,9.42203e-4,0.003545902,0.00593327,1.8e-5,1.29e-5,9.13309e-4,1.77751e-4,7.49322e-4,1.88745e-4,1.73996e-4,2.49e-5,0.001325509,4.09784e-4,3.35e-5,6.02605e-4,3.75e-6,0.001262766,0.001196453,2.70444e-4,9.05866e-4,2.24794e-4,5.10608e-4,3.38699e-4,2.13492e-4,3.27802e-4,0.001108962,2.62235e-4,2.46692e-4,2.3647e-4,1.81036e-4,1.63565e-4
control,0.028565186,0.117110501,0.058391531000000003,0.028127715,0.001453122,0.0501031,0.027650692,0.011404,9.72e-7,4.59e-6,0.002691597,0.002441345,8.62261e-4,0.006144341,0.003861369,4.18e-5,1.45e-5,9.84394e-4,4.40575e-4,5.84587e-4,3.03289e-4,1.92814e-4,5.33e-5,8.99378e-4,1.30419e-4,5.56e-5,3.23446e-4,8.64e-6,0.001054158,5.27365e-4,2.32755e-4,5.45759e-4,7.21e-5,1.19735e-4,2.8643e-4,2.91972e-4,1.59697e-4,4.59373e-4,2.32002e-4,1.46109e-4,2.30704e-4,1.33737e-4,1.75075e-4
control,0.001208617,0.264512838,2.9e-5,0.024661261,0.008207952,6.98e-5,0.031179696,0.037567915,9.46e-6,3.21e-6,0.016139643,0.034380267,0.005656557,0.007605611,0.007565323,1.95116e-4,9.68e-5,0.001067576,0.001067676,8.89237e-4,2.15569e-4,2.88821e-4,1.59506e-4,0.001084618,4.66875e-4,1.01077e-4,7.72e-5,2.7e-5,9.88265e-4,0.001766017,8.33866e-4,0.001114298,7.3e-5,2.68e-5,9.81518e-4,6.04382e-4,2.77576e-4,3.66007e-4,5.71284e-4,1.6867e-4,4.0828e-4,2.77654e-4,4.45451e-4
hyper,0.003385003,0.079869424,1.29e-5,0.02509246,4.07921e-4,3.49e-6,0.028941209,0.01332015,0.025967585,9.9436e-4,0.01018325,0.009911703,0.006176932,0.005138935,0.003984449,6.09e-5,1.79684e-4,0.005265859,3.17751e-4,7.63062e-4,2.03781e-4,1.58054e-4,8.65e-5,7.43199e-4,2.5718e-4,9.1e-5,9.99e-5,9.53e-6,8.7784e-4,0.001057959,8.25528e-4,7.71173e-4,8.69e-5,4.77942e-4,5.7173e-4,3.45935e-4,5.67516e-4,2.76886e-4,3.48652e-4,2.58388e-4,1.94443e-4,1.39617e-4,2.02013e-4
control,0.464470464,0.052866611,7.15e-5,0.004540313,0.001450533,8.92e-5,0.0143127,0.001536072,3.16e-6,1.35e-6,6.47207e-4,0.002094263,0.004481479,0.001571632,0.002936883,7.67e-6,1.13128e-4,2.26401e-4,3.05118e-4,2.39197e-4,3.84e-5,1.51922e-4,3.43e-5,8.71e-5,3.57666e-4,1.13e-5,4.47e-5,1.66e-6,2.14996e-4,2.70586e-4,1.59917e-4,2.43343e-4,1.36e-5,7.02918e-4,2.33581e-4,5.28e-5,8.89e-5,9.25e-5,4.88e-5,3.26e-5,9.07e-5,1.26712e-4,1.21e-5
hyper,0.004567571,0.064231596,1.70823e-4,0.003557461,1.14951e-4,7.59e-5,0.010828073,0.012516522,0.021122093,0.001020939,0.003917691,0.007244934,0.014333522,0.001788309,0.002324031,1.11e-5,6.68255e-4,5.20297e-4,1.54271e-4,3.41823e-4,1.04196e-4,2.38868e-4,2.6e-5,4.28417e-4,1.9047e-4,5.89393e-4,2.3e-5,2.16e-6,9.13739e-4,4.04861e-4,2.06595e-4,2.84596e-4,2.95e-5,5.20542e-4,2.67135e-4,1.23175e-4,9.36e-5,1.16723e-4,9.27e-5,2.07459e-4,9.66e-5,8.24e-5,7.16e-5
control,0.006904534,0.232617716,5.31e-6,0.0038466,0.001566878,2.84e-6,0.026319021,0.007789993,4.58e-7,2.43e-5,0.009406469,0.009979991,2.16e-5,0.00263722,0.006979587,5.22e-5,1.16e-5,5.96196e-4,8.54161e-4,6.28162e-4,9.27e-5,2.75251e-4,4.69e-5,4.83113e-4,2.63091e-4,3.52e-5,0.001111196,4.44e-6,9.70835e-4,0.001020563,4.81207e-4,5.97461e-4,4.45e-5,5.47914e-4,2.93424e-4,1.89295e-4,9.36e-5,4.50382e-4,3.70006e-4,2.18326e-4,4.70707e-4,2.08578e-4,8.04e-5
control,0.558438458,0.043390382,9.56328e-4,0.026904249,1.32731e-4,0.001045863,0.004523937,0.002835808,2.94e-6,3.62e-6,0.005003952,0.001885738,4.82e-5,0.00153831,0.00146281,1.16e-5,6.62e-6,4.98894e-4,1.74873e-4,1.67407e-4,1.62683e-4,2.42e-5,1.2472e-4,6.33618e-4,9.22e-5,1.4e-5,1.41445e-4,1e-6,6.86214e-4,1.8059e-4,8.16e-5,2.94499e-4,5.55e-5,3.50165e-4,8.88e-5,7.39e-5,3.73e-5,1.25765e-4,7.04e-5,6.64e-5,9.85e-5,2.00715e-4,6.61e-5
hyper,0.558881092,0.023519737,2.03573e-4,0.002039242,0.00300321,6.91e-6,0.005974859,0.006611454,8.81e-7,8.41e-6,0.005122545,0.004611101,0.001881664,0.001463882,0.001088378,5.4e-5,0.003538026,9.35836e-4,1.55115e-4,3.92452e-4,3.21e-5,6.73e-5,1.42432e-4,1.83612e-4,1.16984e-4,8.55e-5,3.06e-5,4.47e-6,2.55544e-4,2.9195e-4,2.27813e-4,1.50522e-4,1.4e-5,0.002320735,1.99122e-4,1.39058e-4,8.09e-5,8.54e-5,5.95e-5,5.73e-5,6.11e-5,1.09143e-4,3.8e-5
hyper,5.72756e-4,0.229290307,0.03097012,0.080680605,0.128225217,4.75e-5,0.109632544,0.001923972,2.69e-5,2.19e-6,0.005303285,7.55113e-4,3.48e-5,0.036414945,0.009611726,0.001095996,8.84e-6,0.00163636,0.001621623,3.01237e-4,3.43072e-4,4.93054e-4,6.74e-5,8.15889e-4,5.8278e-4,2.95e-7,2.73031e-4,7.91e-6,0.003220502,3.95976e-4,6.76e-5,0.003247947,2.97716e-4,2.87e-5,6.60256e-4,2.18466e-4,3.69991e-4,6.92239e-4,2.03423e-4,6.03218e-4,2.19412e-4,1.517e-4,1.26727e-4
hyper,0.002739071,0.074291339,0.022880476,0.032153938,4.78589e-4,1.16e-4,0.016049907,0.001886255,3.21e-5,2.92e-5,6.30967e-4,0.00192912,7.7e-6,0.002054437,0.00316065,2.9e-5,8.53e-6,3.89823e-4,2.03257e-4,5.43063e-4,3.62e-5,6.59871e-4,2.87e-5,1.21707e-4,0.001436714,3.21e-5,2.19e-5,4.55e-7,9.3901e-4,3.33082e-4,3.16695e-4,3.65231e-4,7e-5,3.33985e-4,5.23204e-4,1.10174e-4,4.63e-5,3.01871e-4,1.17939e-4,6.66e-5,1.41069e-4,1.52004e-4,4.89e-5
control,0.00346553,0.061530868,0.001814385,0.04328343,7.46997e-4,2.52158e-4,0.030771158,0.027392073,3.43e-6,4.01e-6,0.00473503,0.004091409,0.012165886,0.002531593,0.00432129,2.66e-5,4.26375e-4,6.36931e-4,4.33884e-4,6.00355e-4,1.16933e-4,2.01785e-4,5.21e-5,6.03566e-4,4.68664e-4,1.28273e-4,3.85552e-4,8.87e-6,9.24813e-4,6.8661e-4,4.81318e-4,5.77418e-4,5.09e-5,1.93395e-4,4.11968e-4,2.40862e-4,5.67812e-4,3.34523e-4,1.75073e-4,9.78e-5,1.99965e-4,2.1872e-4,1.85158e-4
hyper,0.580215664,0.023412638,4.29037e-4,0.00176263,5.75e-5,1.17e-5,0.00618317,0.006736244,3.99e-6,1.96945e-4,0.005532925,0.001491999,0.002781131,8.76686e-4,9.72215e-4,1.52e-5,0.001262064,1.73988e-4,1.50328e-4,2.0415e-4,0.001834578,6.42e-5,2.41026e-4,2.1359e-4,1.11435e-4,3.37e-5,1.21e-5,4.5e-6,3.48532e-4,2.53963e-4,1.96969e-4,1.84243e-4,1.92e-5,3.13858e-4,1.94097e-4,8e-5,1.07424e-4,7.98e-5,4.29e-5,6.02e-5,7.07e-5,7.64e-5,2.41e-5
hyper,0.615941773,0.013163715,3.51973e-4,0.00412049,6.6364e-4,7.59e-5,0.005147521,2.80549e-4,1.98e-6,1.03893e-4,3.23586e-4,4.33325e-4,0.005079313,9.72742e-4,6.20292e-4,6.9e-5,1.06486e-4,2.26248e-4,1.25868e-4,8.43e-5,2e-5,2.23689e-4,9.99e-5,2.08087e-4,1.56352e-4,1.18e-5,2.81823e-4,8.51e-8,5.09663e-4,4.8e-5,3.9e-5,8.43e-5,1.37e-5,2.53073e-4,6.62e-5,3.26e-5,1.22e-5,5.89e-5,5.16e-5,8.01e-5,5.33e-5,1.6283e-4,1.95e-5
control,0.165360092,0.123305692,0.001379329,0.007264333,6.10773e-4,9.35e-6,0.027078118,0.014750156,2.57e-6,2.64e-6,0.004220582,0.004019724,1.31e-5,6.38024e-4,0.007269646,3.25e-5,1.78e-5,5.0082e-4,3.28165e-4,6.58023e-4,5.64e-5,8.13e-5,8.69e-5,2.07575e-4,0.002173942,4.88e-5,6.17e-5,8.95e-6,5.21338e-4,6.23466e-4,8.90191e-4,3.81876e-4,1.18e-5,1.69561e-4,9.14676e-4,1.48177e-4,9.1004e-4,1.65799e-4,1.43942e-4,6.72e-5,2.38603e-4,1.57304e-4,3.91e-5
hyper,0.265671372,0.064692311,2.84e-5,0.006474609,9.39955e-4,1.72964e-4,0.014507227,0.007393463,3.62e-6,3.18e-5,0.004193802,0.009407742,0.0074942,0.001899581,0.003426121,2.69e-5,1.28526e-4,4.04084e-4,3.63129e-4,6.53674e-4,9.26e-5,1.20577e-4,0.009421906,3.76559e-4,6.88089e-4,6.99e-5,6.11e-5,1.72e-5,7.18768e-4,7.90095e-4,6.45474e-4,3.61287e-4,5.21e-5,7.11657e-4,6.21115e-4,2.2093e-4,3.74253e-4,2.34583e-4,1.22332e-4,9.13e-5,1.63372e-4,8.95e-5,7.83e-5
hyper,0.001629117,0.020023652,0.022885618,0.155670221,3.34204e-4,2.69375e-4,0.026650065,0.001593281,8.56e-6,2.91e-6,0.021028474,0.002489404,4.19188e-4,0.003804621,0.0067859,8.32e-5,1.12e-5,0.001455454,4.12614e-4,5.04217e-4,2.04533e-4,7.29e-5,5e-5,0.001579362,1.87523e-4,2.64e-5,0.001248587,6.71e-7,0.00212215,5.4963e-4,7.97e-5,7.68688e-4,6.63e-5,1.72507e-4,1.93134e-4,2.11896e-4,7.83e-5,5.67461e-4,2.4172e-4,1.70926e-4,1.46731e-4,2.84094e-4,1.52286e-4
hyper,0.002561107,0.059430643,0.01665106,0.010640032,2.74924e-4,0.008794307,0.012170398,0.012018472,1.23e-6,7.2e-7,0.003350026,0.002557574,1.64e-5,0.001414867,0.002948569,4.46e-5,7.38e-6,0.003087669,7.06192e-4,5.58517e-4,1.30002e-4,1.28168e-4,5.84e-5,2.86131e-4,3.54274e-4,5.99e-5,3.91e-5,9.21e-5,3.43298e-4,0.001031854,3.34151e-4,7.02105e-4,4.25e-5,5.57577e-4,5.22658e-4,2.28616e-4,1.4073e-4,1.80682e-4,1.4546e-4,6.95e-5,1.3002e-4,1.02559e-4,9.57e-5
hyper,0.003888712,0.035558753,2.91e-5,0.015486486,3.82371e-4,1.34e-5,0.013334857,0.004477289,1.09e-6,1.13548e-4,0.002270089,0.006896589,0.002900733,0.006176063,0.005489412,9.42e-5,2.50488e-4,0.001680152,7.30364e-4,1.75832e-4,2.2065e-4,1.81577e-4,4.09e-5,6.21824e-4,2.06849e-4,4.86e-5,8.45166e-4,5.52e-6,0.001253471,6.09935e-4,1.78852e-4,7.29365e-4,5.44747e-4,6.42361e-4,1.74474e-4,1.99568e-4,2.33534e-4,3.50064e-4,1.62414e-4,2.4666e-4,1.58727e-4,1.41109e-4,1.13396e-4
control,0.337475721,0.026077496,1.68e-5,0.014973647,1.59401e-4,1.47592e-4,0.020056358,0.013933355,8.05e-6,6.4e-6,0.007402974,0.004045353,0.001859676,0.001436531,0.003009,5.02e-5,3.02e-5,0.01308315,2.21769e-4,7.34202e-4,1.14204e-4,6.48e-5,8.53e-5,0.001405944,2.27688e-4,4.95e-5,1.64762e-4,1.6708e-4,0.001010512,7.0291e-4,3.97624e-4,5.36308e-4,8.86e-5,0.001148348,3.81236e-4,4.64585e-4,1.63604e-4,2.74728e-4,1.83245e-4,1.6647e-4,2.99856e-4,1.58206e-4,1.05758e-4
control,0.001660181,0.001106219,0.018259837,0.051742534,0.001229583,5.15e-5,0.080434657,7.99749e-4,3.7e-5,1.24e-5,0.003260838,3.4383e-4,4.9e-5,0.007421512,0.012690054,5.53657e-4,8.07e-5,0.001186765,4.71208e-4,1.57955e-4,2.43865e-4,1.00495e-4,1.21909e-4,8.36021e-4,1.96266e-4,1.22e-5,1.94342e-4,1.24e-6,0.001436837,3.36176e-4,4.75e-5,7.91287e-4,1.41959e-4,7.71e-5,1.91611e-4,2.10476e-4,8.62e-5,9.37188e-4,2.03306e-4,3.07416e-4,4.3808e-4,1.03019e-4,2.77194e-4
hyper,0.002344808,0.084564028,3.1462e-4,0.04928746,6.40623e-4,9.55e-6,0.021331612,0.004191661,6.21e-6,3.29e-6,0.003648224,4.11811e-4,0.007151051,0.005071414,0.005719778,3.64548e-4,0.009255509,7.88712e-4,9.77e-5,3.95104e-4,1.32612e-4,5.44277e-4,4.34e-5,2.69425e-4,2.82584e-4,4.18e-6,4.54e-5,5.35e-7,6.03014e-4,6.74321e-4,4.00836e-4,5.64134e-4,3.96e-5,2.22948e-4,2.66269e-4,1.44336e-4,1.81081e-4,2.27536e-4,8.7e-5,8.35e-5,1.3463e-4,9.44e-5,7.38e-5
control,0.002792053,0.021515863,0.001112965,0.006157399,6.33e-5,7.82814e-4,0.014681187,0.015412908,7.83e-6,2.23e-5,0.00459603,0.014478737,0.032723437,0.002376157,0.006611121,4.61e-5,4.12129e-4,4.20061e-4,3.93002e-4,5.62551e-4,4.71e-5,0.001101224,4.32e-5,1.18298e-4,0.003078672,5.45e-5,1.49e-5,2.99e-5,2.09373e-4,9.6145e-4,5.73071e-4,3.96325e-4,3.46e-5,1.78428e-4,7.61497e-4,3.28101e-4,5.8541e-4,1.83291e-4,1.56828e-4,6e-5,2.38683e-4,1.26256e-4,8.07e-5
hyper,0.094598345,0.05097657,6.96969e-4,0.02781163,0.002985284,2.46e-6,0.068747804,0.042128894,0.001552017,0.003269324,0.017684597,0.011752387,0.007051609,0.002908093,0.004977846,6.48e-5,1.66734e-4,0.001904199,5.36554e-4,0.002349576,4.06057e-4,3.74501e-4,3.64533e-4,0.001293236,4.57399e-4,2.03813e-4,1.34513e-4,2.34656e-4,0.002692199,0.003317026,0.001935467,9.84959e-4,2.33396e-4,1.72391e-4,0.001342844,9.78495e-4,5.83504e-4,5.93247e-4,4.9998e-4,4.37326e-4,3.72401e-4,4.99901e-4,2.42047e-4
hyper,0.435191895,0.033730988,1.01e-5,0.002115247,0.003207488,1.05e-6,0.009301569,9.45675e-4,4.6e-6,3.11e-7,3.04676e-4,1.26948e-4,5.56202e-4,2.35395e-4,0.001678259,2.18645e-4,3.72e-5,1.19914e-4,1.99138e-4,9.36e-5,1.49729e-4,4.6e-5,6.51e-5,9.73e-5,2.12565e-4,5.39e-6,1.05e-5,1.28e-7,9.47e-5,1.57671e-4,1.70726e-4,2.57113e-4,1.39e-5,3.06733e-4,3.14957e-4,3.53e-5,1.89e-5,2.73e-5,4.11e-5,1.81e-5,4.66e-5,3.07e-5,8.38e-6
hyper,0.002601703,0.15749591,0.00319409,0.027665495,0.002096446,0.003974849,0.018557851,0.055700266,1.82131e-4,3.35e-6,0.01380125,0.018377259,0.006917947,0.00192246,0.004535194,4.94e-5,1.7597e-4,0.004490381,0.001275715,0.001160162,1.22169e-4,2.81279e-4,7.44e-5,6.44619e-4,0.001121276,1.96916e-4,1.1968e-4,1.3e-5,7.55755e-4,0.001681079,9.97765e-4,7.67873e-4,2.91e-5,1.31756e-4,0.001113928,3.66941e-4,8.65152e-4,3.65032e-4,3.68065e-4,2.68313e-4,3.53733e-4,2.44096e-4,1.53149e-4
control,0.630540084,0.102870362,4.84413e-4,0.005741327,0.00350366,2.15e-6,0.009651027,9.70602e-4,9.12e-6,2.1e-5,0.001146435,0.001648712,9.84e-5,0.002586685,0.002268188,3.95322e-4,5.63e-6,3.01713e-4,6.09155e-4,1.58104e-4,5.26e-5,6.6e-5,1.83e-5,1.2846e-4,4.14e-5,3.75e-5,2.24e-5,5.61e-7,4.1235e-4,2.2287e-4,6.76e-5,2.58407e-4,2.43e-5,7.25896e-4,7.26e-5,7.27e-5,6.84e-5,1.15515e-4,1.05283e-4,4.78e-5,1.3648e-4,6.45e-5,2.6e-5
hyper,0.325876518,0.034933579,0.16811193,0.001197407,2.53387e-4,6.35944e-4,0.007689779,0.020455215,2.15e-6,1.83e-5,0.003552705,0.003010705,0.001145714,4.48934e-4,0.001211996,8.57e-6,0.004522436,2.41859e-4,1.73647e-4,4.77158e-4,5.6e-5,6.15e-5,1.43013e-4,2.21306e-4,1.17173e-4,5.95e-5,4.74e-5,4.52e-5,1.79656e-4,3.74415e-4,3.0329e-4,2.04078e-4,2.64e-5,3.14909e-4,3.11779e-4,2.1097e-4,2.13845e-4,3.96e-5,1.08025e-4,8.68e-5,9.63e-5,1.00708e-4,5.03e-5
hyper,0.161344589,0.020729127,1.9e-6,0.003270503,1.20724e-4,1.12e-6,0.016242758,0.028560842,9.26e-6,6.13e-5,0.025184422,0.004462116,0.006402244,0.001623675,0.002655482,7.45e-5,0.00400485,2.97991e-4,5.22582e-4,9.55748e-4,3.67763e-4,5.16986e-4,1.59155e-4,4.61325e-4,0.002134237,0.001401362,5.59e-5,3.98e-5,4.01624e-4,0.001115233,0.001850794,4.13426e-4,3.54e-5,1.70025e-4,9.09556e-4,4.83089e-4,7.32524e-4,9.87e-5,1.3632e-4,1.51061e-4,1.30839e-4,1.72605e-4,1.21929e-4
hyper,0.002964943,0.042168919,0.01590578,0.003443919,0.00389539,1.87e-5,0.017741015,0.014783327,0.011044355,1.57e-5,9.57522e-4,0.005441787,0.032765458,0.001407829,0.005673241,7e-5,4.65121e-4,2.52068e-4,5.16899e-4,4.7441e-4,3.58e-5,4.74764e-4,8.4e-5,1.59527e-4,0.004473216,2.52366e-4,2.33102e-4,2.22e-6,3.77484e-4,3.65284e-4,2.38105e-4,2.41507e-4,2.46e-5,6.53102e-4,5.52568e-4,2.12852e-4,2.60933e-4,1.05328e-4,1.0727e-4,6.91e-5,8.7e-5,8.25e-5,2.32e-5
control,0.005390059,0.063403706,1.98e-5,0.020558587,0.004652077,1.92e-5,0.023312412,0.002406486,5.71e-6,3.74e-6,0.003680576,0.002074786,2.48e-5,0.004093304,0.003827525,4.21933e-4,4.2e-6,3.60646e-4,2.2173e-4,1.94098e-4,7.24e-5,1.47427e-4,3.90215e-4,2.76996e-4,3.62201e-4,6.93e-5,6.09e-5,2.04e-6,9.81692e-4,3.18462e-4,1.61031e-4,4.11741e-4,4.62e-5,5.27055e-4,1.30535e-4,1.18557e-4,2.20204e-4,1.88856e-4,1.22911e-4,7.38e-5,1.28404e-4,5.17e-5,3.22e-5
control,0.003536969,0.035984375,0.064909674,0.022697226,3.52955e-4,7.88924e-4,0.020205118,0.004789405,5.44e-6,2.05e-5,0.002437738,0.001967877,0.00319548,0.002635096,0.002885086,4.85e-5,1.4409e-4,4.20963e-4,7.11399e-4,3.87703e-4,3.38e-5,1.08942e-4,3.92e-5,3.4383e-4,5.60353e-4,3.02e-5,2e-5,3.8e-6,6.54286e-4,3.11821e-4,3.0232e-4,4.88724e-4,3.61e-5,1.66879e-4,3.57716e-4,1.01506e-4,8.58e-5,3.55118e-4,1.03142e-4,1.42375e-4,1.34079e-4,5.58e-5,8.68e-5
control,0.443664189,0.152926407,9.60241e-4,0.017693092,0.024186891,1.02e-5,0.009930341,0.002639402,1.54e-7,1.64e-6,0.001225681,0.001227399,8.06e-5,0.002733821,0.004519923,2.26e-5,3.02e-5,5.38478e-4,0.001066196,3.95143e-4,1.15369e-4,7.41e-5,1.35276e-4,4.22998e-4,6.23e-5,8.01e-5,8.75e-6,1.49e-6,5.3044e-4,2.65683e-4,9.54e-5,6.47428e-4,1.92e-5,3.54058e-4,2.18254e-4,7.34e-5,3.83836e-4,1.90496e-4,1.70523e-4,3.93e-5,5.53952e-4,8.51e-5,1.00883e-4
control,0.002023376,0.089170272,0.009011859,0.001738489,1.14858e-4,0.003604025,0.010142538,0.090709697,4.41e-6,1.29e-5,0.012704247,0.014509574,2.30622e-4,0.001186943,0.0022370239999999998,6.04e-5,4.38709e-4,2.30423e-4,3.85054e-4,0.001337401,9.88e-5,5.26464e-4,6.18e-5,3.39856e-4,0.001984776,1.88131e-4,9.27393e-4,1.02e-5,2.75143e-4,0.001057109,7.41426e-4,4.47936e-4,2.73e-5,1.45795e-4,0.001100804,4.93469e-4,4.44382e-4,4.48e-5,2.49048e-4,6.77e-5,1.651e-4,2.39806e-4,1.06516e-4
hyper,0.218551989,0.148333245,4.82e-6,0.023079099,4.60467e-4,1.21e-7,0.016368102,0.066416168,6.86e-6,2.02e-6,0.007740435,0.009109782,0.008251812,0.00286301,0.003548343,3.68e-5,1.17304e-4,0.001647092,4.95382e-4,9.92934e-4,2.25709e-4,3.37373e-4,6.31e-5,6.21373e-4,4.94465e-4,9.6e-5,9.25e-5,8.35e-6,0.001697658,9.42524e-4,0.001778403,5.50964e-4,9.84e-5,1.46711e-4,8.275e-4,2.50471e-4,4.83197e-4,3.93003e-4,2.30712e-4,2.41088e-4,2.46247e-4,2.22185e-4,1.38298e-4
hyper,0.010159522,0.321387689,2.47e-6,0.08729798,0.020375922,2.68e-6,0.032683247,0.006246747,3.16e-6,2.84e-5,0.008505637,0.02381247,1.95458e-4,0.018479326,0.009839847,1.34885e-4,6.87e-5,0.00211903,0.005109044,9.95057e-4,2.09436e-4,3.59084e-4,1.35883e-4,0.001538423,5.75529e-4,4.6e-5,7.07e-5,3.3e-6,0.003043528,0.001944595,3.66429e-4,0.00196779,1.80273e-4,2.38554e-4,8.63943e-4,4.0881e-4,5.99774e-4,9.40865e-4,6.35894e-4,3.1773e-4,4.9714e-4,4.26094e-4,4.15831e-4
control,0.648339071,0.021372777,7.42e-5,0.00310709,4.65897e-4,5.92e-5,0.006641688,0.004742945,2.61e-6,5.95e-5,0.004707675,0.002476978,1.21604e-4,9.52411e-4,0.001235354,1.1713e-4,0.001103288,2.95357e-4,5e-5,1.69343e-4,1.31997e-4,4.34e-5,3.76e-5,2.76374e-4,5.29e-5,3.21e-5,0.002014072,1.58812e-4,2.8099e-4,2.87924e-4,9.7e-5,1.07725e-4,2.09e-5,7.0442e-4,9.35e-5,9.4e-5,1.21159e-4,5.98e-5,5.54e-5,4.56e-5,5.76e-5,5.08e-5,4.88e-5
